,track,artist,peak_pos,last_week,weeks_on_chart,chart_pos,isNew,chart_week,chart
32395,Red Lights,Tiesto,56,76,13,96,False,2014-06-21 00:00:00,hot-100
10199,Summertime Magic,Childish Gambino,44,0,5,100,False,2018-09-15 00:00:00,hot-100
64446,Crying Out For Me,Mario,33,40,20,47,False,2008-04-26 00:00:00,hot-100
19485,Slumber Party,Britney Spears Featuring Tinashe,86,0,1,86,True,2016-12-10 00:00:00,hot-100
69998,Famous Last Words,My Chemical Romance,88,0,7,99,False,2007-04-07 00:00:00,hot-100
51866,Undo It,Carrie Underwood,23,59,20,67,False,2010-09-25 00:00:00,hot-100
22462,Forward,Beyonce Featuring James Blake,63,0,1,63,True,2016-05-14 00:00:00,hot-100
47785,Best Friend's Brother,Victorious Cast Featuring Victoria Justice,86,94,4,86,False,2011-07-09 00:00:00,hot-100
64858,Piece Of Me,Britney Spears,18,53,20,59,False,2008-03-29 00:00:00,hot-100
33785,The Heart Of Dixie,Danielle Bradbery,58,84,13,86,False,2014-03-15 00:00:00,hot-100
21389,Came Here To Forget,Blake Shelton,36,86,19,90,False,2016-07-30 00:00:00,hot-100
32682,Fever,The Black Keys,77,83,3,83,False,2014-05-31 00:00:00,hot-100
41936,Feel So Close,Calvin Harris,12,38,26,37,False,2012-08-18 00:00:00,hot-100
24782,If I Could Fly,One Direction,83,0,1,83,True,2015-12-05 00:00:00,hot-100
30267,No Mediocre,T.I. Featuring Iggy Azalea,33,56,20,68,False,2014-11-15 00:00:00,hot-100
74193,Hustler Musik,Lil Wayne,87,0,6,94,False,2006-06-17 00:00:00,hot-100
55697,I Get It In,Omarion Featuring Gucci Mane,83,92,7,98,False,2010-01-02 00:00:00,hot-100
69670,Pain,Three Days Grace,44,70,20,71,False,2007-04-28 00:00:00,hot-100
17681,4422,Drake Featuring Sampha,50,50,2,82,False,2017-04-15 00:00:00,hot-100
1663,BLAME IT ON BABY,DaBaby,64,0,1,64,True,2020-05-02 00:00:00,hot-100
50295,Check It Out,will.i.am & Nicki Minaj,24,88,15,96,False,2011-01-15 00:00:00,hot-100
8292,Can't Leave Without It,21 Savage,58,70,4,93,False,2019-01-26 00:00:00,hot-100
65884,1234,Feist,8,59,15,85,False,2008-01-19 00:00:00,hot-100
8657,MoshPit,Kodak Black Featuring Juice WRLD,58,0,1,58,True,2018-12-29 00:00:00,hot-100
35833,Walking On Air,Katy Perry,34,0,1,34,True,2013-10-19 00:00:00,hot-100
17698,Nothings Into Somethings,Drake,61,61,2,99,False,2017-04-15 00:00:00,hot-100
46580,Out Of My Head,Lupe Fiasco Featuring Trey Songz,40,79,17,81,False,2011-10-01 00:00:00,hot-100
56390,Under,Pleasure P,78,84,10,91,False,2009-11-14 00:00:00,hot-100
55398,Bad Habits,Maxwell,71,0,14,99,False,2010-01-23 00:00:00,hot-100
12873,You Broke Up With Me,Walker Hayes,62,64,19,74,False,2018-03-10 00:00:00,hot-100
60577,Come On Get Higher,Matt Nathanson,59,67,20,78,False,2009-01-24 00:00:00,hot-100
32591,Leave Your Lover,Sam Smith,92,0,1,92,True,2014-06-07 00:00:00,hot-100
74593,The Only Difference Between Martyrdom And Suicide Is Press Coverage,Panic! At The Disco,77,91,8,94,False,2006-05-20 00:00:00,hot-100
64954,Watching Airplanes,Gary Allan,43,54,20,55,False,2008-03-22 00:00:00,hot-100
53035,I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",21,35,20,36,False,2010-07-03 00:00:00,hot-100
7161,Ilomilo,Billie Eilish,62,0,1,62,True,2019-04-13 00:00:00,hot-100
23246,Antidote,Travis Scott,16,40,26,47,False,2016-03-19 00:00:00,hot-100
49097,Shake Me Down,Cage The Elephant,78,0,4,98,False,2011-04-09 00:00:00,hot-100
33843,Safe And Sound,Capital Cities,8,46,43,44,False,2014-03-08 00:00:00,hot-100
6456,Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",57,0,1,57,True,2019-06-01 00:00:00,hot-100
4562,REALLY,DaBaby Featuring Stunna 4 Vegas,63,0,1,63,True,2019-10-12 00:00:00,hot-100
48076,Colder Weather,Zac Brown Band,29,76,20,77,False,2011-06-18 00:00:00,hot-100
11179,Numb,XXXTENTACION,80,82,3,80,False,2018-07-07 00:00:00,hot-100
19153,False Prophets,J. Cole,54,93,2,54,False,2016-12-31 00:00:00,hot-100
9399,Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,32,99,19,100,False,2018-11-10 00:00:00,hot-100
15946,The Fighter,Keith Urban Featuring Carrie Underwood,38,0,23,47,False,2017-08-12 00:00:00,hot-100
10595,Coming Home,Keith Urban Featuring Julia Michaels,50,51,7,96,False,2018-08-18 00:00:00,hot-100
73099,Enough Cryin,Mary J. Blige Featuring Brook-Lyn,32,87,20,100,False,2006-09-02 00:00:00,hot-100
69676,Poppin',Chris Brown Featuring Jay Biz,42,72,20,77,False,2007-04-28 00:00:00,hot-100
28285,The Heart Wants What It Wants,Selena Gomez,6,82,20,86,False,2015-04-04 00:00:00,hot-100
76394,Stricken,Disturbed,95,0,3,95,False,2006-01-14 00:00:00,hot-100
27796,Ride Out,"Kid Ink, Tyga, Wale, YG & Rich Homie Quan",70,84,3,97,False,2015-05-09 00:00:00,hot-100
39797,Ice,Kelly Rowland Featuring Lil Wayne,88,100,12,98,False,2013-01-19 00:00:00,hot-100
15990,Imitadora,Romeo Santos,91,0,1,91,True,2017-08-12 00:00:00,hot-100
37842,Give It All We Got Tonight,George Strait,43,56,20,43,False,2013-06-01 00:00:00,hot-100
55493,Gettin' You Home,Chris Young,33,0,20,94,False,2010-01-16 00:00:00,hot-100
11128,Walk It Talk It,Migos Featuring Drake,10,24,22,29,False,2018-07-07 00:00:00,hot-100
29285,Close Your Eyes,Parmalee,69,74,16,86,False,2015-01-24 00:00:00,hot-100
46846,She Ain't You,Chris Brown,27,36,20,47,False,2011-09-10 00:00:00,hot-100
43763,I Dont Really Care,Waka Flocka Flame Featuring Trey Songz,64,0,1,64,True,2012-04-14 00:00:00,hot-100
53172,Not Myself Tonight,Christina Aguilera,23,0,8,73,False,2010-06-26 00:00:00,hot-100
66896,Empty Walls,Serj Tankian,97,0,1,97,True,2007-11-10 00:00:00,hot-100
33375,G.U.Y.,Lady Gaga,76,0,1,76,True,2014-04-12 00:00:00,hot-100
29658,The Old Rugged Cross,Craig Wayne Boyd,59,0,1,59,True,2014-12-27 00:00:00,hot-100
73179,Don't Forget To Remember Me,Carrie Underwood,49,74,17,80,False,2006-08-26 00:00:00,hot-100
35142,Only Time,Enya,10,0,32,43,False,2013-12-07 00:00:00,hot-100
27594,Nobody Love,Tori Kelly,60,60,11,95,False,2015-05-23 00:00:00,hot-100
1085,Hasta Que Dios Diga,Anuel AA & Bad Bunny,86,0,1,86,True,2020-06-13 00:00:00,hot-100
94,B*tch From da Souf,Mulatto,95,0,1,95,True,2020-08-22 00:00:00,hot-100
24387,Strip It Down,Luke Bryan,30,80,20,88,False,2016-01-02 00:00:00,hot-100
57267,Not Meant To Be,Theory Of A Deadman,55,73,21,68,False,2009-09-12 00:00:00,hot-100
55949,Obsessed,Mariah Carey,7,38,21,50,False,2009-12-12 00:00:00,hot-100
46188,Still Got It,Tyga Featuring Drake,89,0,1,89,True,2011-10-29 00:00:00,hot-100
72397,Chemicals React,Aly & AJ,50,69,4,98,False,2006-10-21 00:00:00,hot-100
1285,Pain 1993,Drake Featuring Playboi Carti,7,51,3,86,False,2020-05-30 00:00:00,hot-100
19370,Love To Lay,The Weeknd,71,0,1,71,True,2016-12-17 00:00:00,hot-100
64584,Supernatural Superserious,R.E.M.,85,0,1,85,True,2008-04-19 00:00:00,hot-100
21687,Ain't No Stopping Us Now,Kane Brown,88,0,1,88,True,2016-07-09 00:00:00,hot-100
63180,Violet Hill,Coldplay,40,75,10,81,False,2008-07-26 00:00:00,hot-100
19783,The Difference,Meek Mill Featuring Quavo,84,0,1,84,True,2016-11-19 00:00:00,hot-100
47442,Blow,Ke$ha,7,34,26,43,False,2011-07-30 00:00:00,hot-100
26896,Pretty Girls,Britney Spears & Iggy Azalea,29,81,8,97,False,2015-07-11 00:00:00,hot-100
22874,Stand By You,Rachel Platten,37,77,20,75,False,2016-04-16 00:00:00,hot-100
69857,Snow ((Hey Oh)),Red Hot Chili Peppers,22,53,20,58,False,2007-04-14 00:00:00,hot-100
30086,18,One Direction,87,0,1,87,True,2014-11-29 00:00:00,hot-100
28245,Chandelier,Sia,8,47,46,46,False,2015-04-04 00:00:00,hot-100
6178,Put A Date On It,Yo Gotti Featuring Lil Baby,46,73,20,79,False,2019-06-22 00:00:00,hot-100
67471,Lean Like A Cholo,Down A.K.A. Kilo,34,66,20,72,False,2007-09-29 00:00:00,hot-100
72189,Like Red On A Rose,Alan Jackson,80,89,5,90,False,2006-11-04 00:00:00,hot-100
54647,Meet Me Halfway,The Black Eyed Peas,7,43,24,48,False,2010-03-13 00:00:00,hot-100
68796,All Good Things (Come To An End),Nelly Furtado,86,86,4,97,False,2007-06-30 00:00:00,hot-100
53298,Roger That,Young Money,56,83,11,99,False,2010-06-19 00:00:00,hot-100
31647,Not A Bad Thing,Justin Timberlake,8,38,22,48,False,2014-08-09 00:00:00,hot-100
9497,Get Dripped,Lil Yachty Featuring Playboi Carti,98,0,1,98,True,2018-11-03 00:00:00,hot-100
60595,Arab Money,Busta Rhymes Featuring Ron Browz,86,97,6,96,False,2009-01-24 00:00:00,hot-100
14498,Mad Stalkers,"21 Savage, Offset & Metro Boomin",99,0,1,99,True,2017-11-25 00:00:00,hot-100
27094,I Want You To Know,Zedd Featuring Selena Gomez,17,93,16,95,False,2015-06-27 00:00:00,hot-100
59883,Love Is On Its Way,Jonas Brothers,84,0,1,84,True,2009-03-14 00:00:00,hot-100
35846,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,11,32,30,47,False,2013-10-19 00:00:00,hot-100
57894,You Don't Belong,Daughtry,95,0,1,95,True,2009-08-01 00:00:00,hot-100
18695,Just Hold On,Steve Aoki & Louis Tomlinson,52,99,6,96,False,2017-02-04 00:00:00,hot-100
11667,Change Lanes,Kevin Gates,68,0,1,68,True,2018-06-02 00:00:00,hot-100
4493,Die For Me,Post Malone Featuring Future & Halsey,20,80,5,94,False,2019-10-19 00:00:00,hot-100
12188,Anybody,Young Thug Featuring Nicki Minaj,89,0,1,89,True,2018-04-28 00:00:00,hot-100
46297,Love Don't Run,Steve Holy,78,89,7,98,False,2011-10-22 00:00:00,hot-100
